SAMPID,SMATSSCR,SMCENTER,SMPTHNTS,SMRIN,SMTS,SMTSD,SMUBRID,SMTSISCH,SMTSPAX,SMNABTCH,SMNABTCHT,SMNABTCHD,SMGEBTCH,SMGEBTCHD,SMGEBTCHT,SMAFRZE,SMGTC,SME2MPRT,SMCHMPRS,SMNTRART,SMNUMGPS,SMMAPRT,SMEXNCRT,SM550NRM,SMGNSDTC,SMUNMPRT,SM350NRM,SMRDLGTH,SMMNCPB,SME1MMRT,SMSFLGTH,SMESTLBS,SMMPPD,SMNTERRT,SMRRNANM,SMRDTTL,SMVQCFL,SMMNCV,SMTRSCPT,SMMPPDPR,SMCGLGTH,SMGAPPCT,SMUNPDRD,SMNTRNRT,SMMPUNRT,SMEXPEFF,SMMPPDUN,SME2MMRT,SME2ANTI,SMALTALG,SME2SNSE,SMMFLGTH,SME1ANTI,SMSPLTRD,SMBSMMRT,SME1SNSE,SME1PCTS,SMRRNART,SME1MPRT,SMNUM5CD,SMDPMPRT,SME2PCTS
GTEX-11EMC-3226-SM-5EGKW,1,B1,"2 pieces (fragmented), no abnormalities",6,Brain,Brain - Cortex,1870,864,536,BP-45028,RNA Extraction from Paxgene-derived Lysate Plate Based,10/24/2013,LCSET-4797,02/11/2014,TruSeq.v1,RNASEQ,,0.98473275,0,0.9493073,,0.9898541,0.815612,,22905,1,,76,,0.001795739,268,0,77304844,0.05039605,4511713,78097212,6793094,,22921,38354330,,,0,0.13369529,0.9898541,0.80733687,77304844,0.003039986,16671365,14685384,16671106,290,16674208,7774930,0.002414644,17002836,50.48791,0.057770472,0.99497527,,0,49.99961
GTEX-11EMC-3326-SM-5P9JH,1,B1,"2 pieces, no abnormalities",6.9,Brain,Brain - Cerebellum,2037,866,534,BP-47888,RNA Extraction from Paxgene-derived Lysate Plate Based,01/06/2014,LCSET-4916,03/27/2014,TruSeq.v1,RNASEQ,,0.98933613,0,0.90916526,,0.9904681,0.6997787,,23601,1,,76,,0.003422773,270,0,92205498,0.090514384,1834455,93092850,3028206,,23634,45868276,,,0,0.20938659,0.9904681,0.69310844,92205498,0.003713062,19221981,12853507,19306879,258,19257132,9639391,0.003567752,19356894,50.12918,0.01970565,0.99160004,,0,50.110176
GTEX-11EQ8-0001-SM-58Q82,,C1,,,Blood,Whole Blood,13756,352,,BP-39368,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/24/2013,LCSET-4574,01/19/2014,Standard Exome Sequencing v3 (ICE),WES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-11EQ8-0001-SM-5DWSU,,C1,,,Blood,Whole Blood,13756,352,,BP-39368,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),5/24/2013,GTEx_OM25_Dec_01,01/29/2014,Illumina OMNI SNP Array,OMNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-11EQ8-0001-SM-6WBTP,,C1,,,Blood,Whole Blood,13756,352,,BP-39443,Transfer To Matrix (Manual),05/29/2013,LCSET-6056,8/11/2014,Standard High Coverage Whole Genome Sequencing (30x) v2 (HiSeqX),WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-11EQ8-0006-SM-5P9HJ,,C1,,6.6,Blood,Whole Blood,13756,352,,BP-39302,RNA isolation_PAXgene Blood RNA (Manual),05/23/2013,LCSET-4916,03/27/2014,TruSeq.v1,RNASEQ,,0.9684621,0,0.96365476,,0.9699353,0.8006707,,18215,1,,76,,0.003655323,156,0,102831316,0.03474082,491336,106018736,3737766,,18221,51091818,,,0,0.16298407,0.9699353,0.77659875,102831316,0.004437668,23700029,123420037,23978860,174,23963030,25330393,0.004045901,23867009,49.89962,0.004634426,0.97140855,,0,50.292404
GTEX-11EQ8-0008-SM-5Q5DJ,,C1,,10,Skin,Cells - Transformed fibroblasts,EFO_0002009,461,,BP-40621,RNA isolation_Trizol Manual (Cell Pellet),07/10/2013,LCSET-4953,03/27/2014,TruSeq.v1,RNASEQ,,0.9912062,0,0.9783043,,0.99356633,0.8847065,,19575,1,,76,,0.001824878,221,0,86869189,0.021333754,388106,87431700,11223838,,19584,43237454,,,0,0.09359781,0.99356633,0.8790146,86869189,0.002915169,19638732,7318967,19664095,232,19699704,23842895,0.002368728,19798210,50.124702,0.004438962,0.99592644,,0,50.03227
GTEX-11EQ8-0126-SM-5EQ54,1,C1,"6 pieces, minimal attached and internal fat (<10%)",6.8,Skin,Skin - Sun Exposed (Lower leg),4264,460,647,BP-44460,RNA Extraction from Paxgene-derived Lysate Plate Based,10/08/2013,LCSET-4767,02/08/2014,TruSeq.v1,EXCLUDE,,0.98308945,0,0.96821755,,0.98860526,0.7734295,,22304,1,,76,,0.002096781,152,0,70490764,0.031461157,313144,71303246,9769142,,22327,34929633,,,0,0.1947881,0.98860526,0.7646165,70490764,0.003299492,15359430,5700325,15471280,161,15578537,11839331,0.002694781,15607632,50.046646,0.004391721,0.994121,,0,50.181396
GTEX-11EQ8-0226-SM-5EQ5G,1,C1,2 pieces,6,Adipose Tissue,Adipose - Subcutaneous,2190,463,645,BP-44460,RNA Extraction from Paxgene-derived Lysate Plate Based,10/08/2013,LCSET-4767,02/08/2014,TruSeq.v1,RNASEQ,,0.9840001,0,0.9685248,,0.98890847,0.7609728,,22700,1,,76,,0.002070109,147,0,68461012,0.031222021,422018,69228860,8530248,,22727,33938571,,,0,0.20755203,0.98890847,0.7525324,68461012,0.00309282,15023165,5713967,15120149,158,15189710,10924250,0.002578927,15260022,50.115456,0.006095983,0.9938169,,0,50.16087
GTEX-11EQ8-0426-SM-5N9DP,1,C1,"2 pieces, well trimmed",6.1,Blood Vessel,Artery - Tibial,7610,468,641,BP-43989,RNA Extraction from Paxgene-derived Lysate Plate Based,09/26/2013,LCSET-4904,03/22/2014,TruSeq.v1,RNASEQ,,0.988757,0,0.9690951,,0.9906779,0.8050196,,21100,1,,76,,0.002839213,174,0,76711507,0.030587068,397220,77433340,3809862,,21117,38140057,,,0,0.16407554,0.9906779,0.79751515,76711507,0.003421379,16755506,6130804,16792668,185,16768155,13061470,0.003129732,16911327,50.212555,0.005129831,0.99259895,,0,50.055386
GTEX-11EQ8-0526-SM-5N9BC,1,C1,"2 pieces, 5% internal fat, one piece has attachment of 10% additional fat and vessels",7.6,Muscle,Muscle - Skeletal,11907,471,639,BP-43989,RNA Extraction from Paxgene-derived Lysate Plate Based,09/26/2013,LCSET-4904,03/22/2014,TruSeq.v1,RNASEQ,,0.99087185,0,0.97808874,,0.99254763,0.8618126,,19354,1,,76,,0.00255558,215,0,85269763,0.021612398,5109561,85909990,3818470,,19361,42442733,,,0,0.11627621,0.99254763,0.8553901,85269763,0.003096959,18636932,7898428,18671605,234,18658478,16566405,0.002825813,18777970,50.15959,0.059475746,0.99422354,,0,50.046467
GTEX-11EQ8-0826-SM-5N9FG,2,C1,"2 pieces, fibrosis, nodularity with few collections of lymphocytes",5.7,Thyroid,Thyroid,2046,498,614,BP-43753,RNA Extraction from Paxgene-derived Lysate Plate Based,09/19/2013,LCSET-4905,03/23/2014,TruSeq.v1,RNASEQ,,0.98529696,0,0.95558035,,0.98729193,0.7426064,,23825,1,,76,,0.004063754,143,0,79282537,0.044078458,1490648,80303030,3788542,,23854,39317485,,,0,0.21297386,0.98729193,0.7331693,79282537,0.004230111,17299070,8807347,17297127,162,17316812,12474674,0.004146764,17423920,50.154156,0.018562786,0.9892869,,0,49.997196
GTEX-11EQ8-0926-SM-5H12V,1,C1,"6 pieces, 5-10% attached and internal fat, overlying crust of degenerating cells",6.9,Skin,Skin - Not Sun Exposed (Suprapubic),36149,499,613,BP-43753,RNA Extraction from Paxgene-derived Lysate Plate Based,09/19/2013,LCSET-4805,02/27/2014,TruSeq.v1,RNASEQ,,0.984031,0,0.97473156,,0.98862946,0.7778269,,21856,1,,76,,0.002119011,174,0,68284477,0.025060307,901127,69069842,8953386,,21877,33880480,,,0,0.19690476,0.98862946,0.7689826,68284477,0.003565631,14975822,6441057,15034664,171,15094592,10138275,0.002838957,15207387,50.186115,0.013046606,0.99322784,,0,50.098034
GTEX-11EQ8-1326-SM-5EGJQ,1,C1,"2 pieces, interstitial fibrosis, one piece is up to ~40% fat/fibrosis",6.2,Heart,Heart - Atrial Appendage,6631,509,606,BP-44460,RNA Extraction from Paxgene-derived Lysate Plate Based,10/08/2013,LCSET-4797,02/11/2014,TruSeq.v1,EXCLUDE,,0.9847291,0,0.97385114,,0.98995876,0.815429,,21594,1,,76,,0.0018909,273,0,82030911,0.025917035,4841651,82862962,7680644,,21609,40689784,,,0,0.15842214,0.98995876,0.807241,82030911,0.003258078,18142987,17193847,18215385,278,18255756,10256602,0.002570878,18481731,50.307556,0.058429617,0.9951884,,0,50.09956
GTEX-11EQ8-1426-SM-5EGJR,1,C1,"2 pieces, spermatogenesis",6,Testis,Testis,473,511,604,BP-44460,RNA Extraction from Paxgene-derived Lysate Plate Based,10/08/2013,LCSET-4797,02/11/2014,TruSeq.v1,RNASEQ,,0.9851942,0,0.92433846,,0.9894667,0.73540175,,30793,1,,76,,0.001979949,144,0,73335735,0.07528885,1018693,74116422,6325160,,30832,36395892,,,0,0.1889367,0.9894667,0.7276556,73335735,0.002907015,15013182,8231189,15086160,154,15187029,11940127,0.002441481,15184689,49.996147,0.013744498,0.99373925,,0,50.121227
GTEX-11EQ8-2626-SM-5N9BO,2,C1,"6 pieces, muscularis, small focus of autolyzed mucosa",5.7,Colon,Colon - Sigmoid,1159,539,583,BP-43989,RNA Extraction from Paxgene-derived Lysate Plate Based,09/26/2013,LCSET-4904,03/22/2014,TruSeq.v1,EXCLUDE,,0.98497176,0,0.9664707,,0.9868719,0.8103042,,21724,1,,76,,0.002811721,162,0,74152069,0.033269253,1203547,75138494,3638514,,21746,36850971,,,0,0.15616655,0.9868719,0.79966646,74152069,0.003424647,16356474,8874252,16364254,173,16344914,13310644,0.003117594,16502770,50.240284,0.016017715,0.988772,,0,50.011887
GTEX-11EQ8-2826-SM-5N9C1,1,C1,"4 pieces, Purkinje cells with some evidence of ischemic change",6.4,Brain,Brain - Cerebellum,2037,557,567,BP-43989,RNA Extraction from Paxgene-derived Lysate Plate Based,09/26/2013,LCSET-4904,03/22/2014,TruSeq.v1,EXCLUDE,,0.9872493,0,0.9196206,,0.9891613,0.67984915,,22281,1,,76,,0.003150219,131,0,73888049,0.08008577,1243047,74697670,3734604,,22309,36711071,,,0,0.23977134,0.9891613,0.6724805,73888049,0.003714062,15663663,11015036,15701224,162,15711877,7490951,0.003431596,15775262,50.100647,0.016641041,0.9910734,,0,50.059875
GTEX-11EQ9-0002-SM-5QGQ1,,B1,,10,Blood,Cells - EBV-transformed lymphocytes,EFO_0000572,-165,,BP-40621,RNA isolation_Trizol Manual (Cell Pellet),07/10/2013,LCSET-4954,03/29/2014,TruSeq.v1,RNASEQ,,0.99084383,0,0.96374035,,0.9926738,0.8018075,,19252,1,,76,,0.001973219,127,0,52850256,0.035736363,327450,53240304,3732128,,19261,26290279,,,0,0.16193283,0.9926738,0.7959333,52850256,0.002777656,11721413,5215211,11778336,113,11797750,11990710,0.002374696,11793507,49.99101,0.006150416,0.9945038,,0,50.121117
GTEX-11EQ9-0003-SM-58Q7V,,B1,,,Blood,Whole Blood,13756,-165,,BP-39368,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/24/2013,LCSET-4574,01/19/2014,Standard Exome Sequencing v3 (ICE),WES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-11EQ9-0003-SM-5DWSP,,B1,,,Blood,Whole Blood,13756,-165,,BP-39368,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),5/24/2013,GTEx_OM25_Dec_01,01/29/2014,Illumina OMNI SNP Array,OMNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-11EQ9-0003-SM-6WBTK,,B1,,,Blood,Whole Blood,13756,-165,,BP-39443,Transfer To Matrix (Manual),05/29/2013,LCSET-6056,8/11/2014,Standard High Coverage Whole Genome Sequencing (30x) v2 (HiSeqX),WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-11EQ9-0006-SM-5LUB6,,B1,,9.3,Blood,Whole Blood,13756,-165,,BP-39302,RNA isolation_PAXgene Blood RNA (Manual),05/23/2013,LCSET-4899,03/23/2014,TruSeq.v1,RNASEQ,,0.9718939,0,0.95897305,,0.974058,0.8026556,,17158,1,,76,,0.004551194,90,0,77220436,0.039685275,181254,79277040,6860048,,17160,38350313,,,0,0.15631746,0.974058,0.78183305,77220436,0.003854825,17713299,107443811,17912766,112,17967206,20730419,0.004203783,17821196,49.79601,0.002286337,0.9762221,,0,50.279945
GTEX-11EQ9-0008-SM-5Q5DK,,B1,,10,Skin,Cells - Transformed fibroblasts,EFO_0002009,321,,BP-40621,RNA isolation_Trizol Manual (Cell Pellet),07/10/2013,LCSET-4953,03/27/2014,TruSeq.v1,EXCLUDE,,0.9897351,0,0.9768938,,0.99229735,0.894029,,19816,1,,76,,0.002682288,286,0,101330187,0.022930482,693348,102116756,15120332,,19818,50433040,,,0,0.08286472,0.99229735,0.88714266,101330187,0.003592554,22337348,11679465,22596113,313,22522921,20324031,0.003136245,22647141,50.137497,0.006789758,0.9948597,,0,50.28794
GTEX-11EQ9-0126-SM-5986I,1,B1,"2 pieces, one ~50% fat,/cortex delineated; the other with well- defined central medulla (ensquared) and cortex, all well-preserved: valuable specimen",8.2,Adrenal Gland,Adrenal Gland,2369,71,628,BP-44577,RNA Extraction from Paxgene-derived Lysate Plate Based,10/11/2013,LCSET-4417,01/23/2014,TruSeq.v1,RNASEQ,,0.9833758,0,0.9766049,,0.98904616,0.8353919,,21344,1,,76,,0.002690824,200,0,75853346,0.023086932,1744016,76693432,17971212,,21367,37610662,,,0,0.14121296,0.98904616,0.82624114,75853346,0.005883983,16882315,13622316,16526335,213,16541289,11072267,0.00427825,17226027,51.01391,0.022740096,0.9947165,,0,49.46723
GTEX-11EQ9-0226-SM-5A5JX,1,B1,"2 pieces, patchy congestion",8.3,Lung,Lung,8952,74,625,BP-44264,RNA Extraction from Paxgene-derived Lysate Plate Based,10/03/2013,LCSET-4423,01/29/2014,TruSeq.v1,RNASEQ,,0.987079,0,0.9721067,,0.99090654,0.8002797,,22530,1,,76,,0.002067762,168,0,77186692,0.02755115,466634,77895026,8339822,,22554,38331705,,,0,0.17182702,0.99090654,0.79300237,77186692,0.003798757,17030200,6558988,17244144,183,17301003,13986089,0.002929917,17241941,49.91451,0.00599055,0.9947342,,0,50.312107
GTEX-11EQ9-0426-SM-5A5JY,1,B1,"2 pieces, minimal congestion",8.1,Spleen,Spleen,2106,80,619,BP-44264,RNA Extraction from Paxgene-derived Lysate Plate Based,10/03/2013,LCSET-4423,01/29/2014,TruSeq.v1,RNASEQ,,0.98697346,0,0.96355367,,0.9904207,0.7673732,,23399,1,,76,,0.002322866,206,0,82515610,0.03571579,633738,83313694,10049880,,23429,40984475,,,0,0.19618048,0.9904207,0.76002234,82515610,0.003920548,18168260,10854909,18326573,211,18386873,13377328,0.003118927,18367887,49.974174,0.007606648,0.993868,,0,50.216896
GTEX-11EQ9-0526-SM-5A5JZ,1,B1,"2 pieces, diffuse macro and microvesucular steatosis, nodular regenerative changes",8.1,Liver,Liver,1114,82,617,BP-44264,RNA Extraction from Paxgene-derived Lysate Plate Based,10/03/2013,LCSET-4423,01/29/2014,TruSeq.v1,RNASEQ,,0.98947424,0,0.97814804,,0.99252415,0.8464323,,20928,1,,76,,0.001969565,270,0,93011452,0.021527467,746631,93712030,11218604,,20944,46249879,,,0,0.13171576,0.99252415,0.8401045,93011452,0.003547494,20006660,15059361,19976696,257,20031360,19781867,0.002756105,20209383,50.2212,0.007967291,0.995574,,0,49.962532
GTEX-11EQ9-0626-SM-5A5K1,1,B1,"2 pieces, focal lyphocytic thyroiditis, delineated, adherent fibrous/adipose tissue ~1mm",6.7,Thyroid,Thyroid,2046,84,615,BP-44264,RNA Extraction from Paxgene-derived Lysate Plate Based,10/03/2013,LCSET-4423,01/29/2014,TruSeq.v1,RNASEQ,,0.98748505,0,0.96551126,,0.9910555,0.74848413,,24107,1,,76,,0.002037356,277,0,103112602,0.034195315,425877,104043216,12187606,,24138,51240672,,,0,0.21702717,0.9910555,0.7417893,103112602,0.003881507,22578695,10172161,22660309,266,22761281,16119464,0.00295611,22808348,50.051643,0.00409327,0.9946259,,0,50.090202
GTEX-11EQ9-0726-SM-5A5K2,1,B1,"6 pieces, squamous mucosa up to ~0.5mm thick, numberous mubmucosal mucous glands present, rep. delineated",9.4,Esophagus,Esophagus - Mucosa,6920,93,606,BP-44264,RNA Extraction from Paxgene-derived Lysate Plate Based,10/03/2013,LCSET-4423,01/29/2014,TruSeq.v1,RNASEQ,,0.98715866,0,0.97411054,,0.99039125,0.81291217,,21907,1,,76,,0.002134946,169,0,78120452,0.025406307,349288,78878364,8701934,,21925,38834392,,,0,0.16119842,0.99039125,0.80510116,78120452,0.004049392,17527952,11226767,17652920,181,17734579,16033387,0.003089044,17680110,49.9231,0.004428185,0.99362403,,0,50.17761
GTEX-11EQ9-0826-SM-5986Y,1,B1,"6 pieces, all muscularis, good specimens",8.2,Esophagus,Esophagus - Muscularis,4648,96,603,BP-44577,RNA Extraction from Paxgene-derived Lysate Plate Based,10/11/2013,LCSET-4417,01/23/2014,TruSeq.v1,RNASEQ,,0.9846023,0,0.9704437,,0.98949164,0.82960254,,21136,1,,76,,0.002543569,170,0,73567852,0.029243235,526345,74349142,14152224,,21151,36508547,,,0,0.14084117,0.98949164,0.82088476,73567852,0.005941575,15799191,6955452,15714019,169,15784201,13039290,0.004234177,16047038,50.412857,0.007079369,0.994381,,0,49.86486
GTEX-11EQ9-0926-SM-5HL6I,1,B1,"6 pieces, all muscularis, good specimens",8.3,Esophagus,Esophagus - Gastroesophageal Junction,4550,99,600,BP-43730,RNA Extraction from Paxgene-derived Lysate Plate Based,09/18/2013,LCSET-4806,03/02/2014,TruSeq.v1,RNASEQ,,0.986675,0,0.9732845,,0.99031156,0.81889325,,20586,1,,76,,0.002014435,151,0,64596801,0.026384559,405825,65228764,6994648,,20601,32074540,,,0,0.1543912,0.99031156,0.81095946,64596801,0.003117197,13924215,5940223,14066483,154,14078541,11344348,0.002563791,14123215,50.079205,0.006221565,0.99394816,,0,50.254135
GTEX-11EQ9-1026-SM-5H134,1,B1,"2 pieces, well-preserved, Islets well visualized; rep. delineated",7.3,Pancreas,Pancreas,1150,104,595,BP-43730,RNA Extraction from Paxgene-derived Lysate Plate Based,09/18/2013,LCSET-4805,02/27/2014,TruSeq.v1,RNASEQ,,0.98750675,5,0.97177935,,0.990373,0.79668516,,21361,1,,76,,0.007078373,113,0,90122397,0.024811678,240105,90998442,10793716,,21381,44624915,,,0,0.17509423,0.990373,0.7890155,90122397,0.007928398,20164241,25482909,20307902,138,20332909,22981796,0.007502155,20361842,50.03555,0.002638562,0.99323916,,0,50.17748
GTEX-11EQ9-1126-SM-5987I,1,B1,"2 pieces, !0% fibrovascular tissue, delineated",7.8,Adipose Tissue,Adipose - Visceral (Omentum),10414,105,594,BP-44577,RNA Extraction from Paxgene-derived Lysate Plate Based,10/11/2013,LCSET-4417,01/23/2014,TruSeq.v1,RNASEQ,,0.98176575,0,0.9718243,,0.98749727,0.8636692,,21384,1,,76,,0.002530555,211,0,77535704,0.027930398,517288,78517382,16450112,,21392,38456353,,,0,0.108155064,0.98749727,0.852871,77535704,0.006062404,16842105,8403594,16931863,220,17005639,12793038,0.00428623,17165156,50.23341,0.006588197,0.9932288,,0,50.132885
GTEX-11EQ9-1226-SM-5987E,1,B1,"6 pieces, mucosa is ~1mm thick, ~30% thickness",7.4,Stomach,Stomach,945,108,591,BP-44577,RNA Extraction from Paxgene-derived Lysate Plate Based,10/11/2013,LCSET-4417,01/23/2014,TruSeq.v1,RNASEQ,,0.9793255,0,0.97480357,,0.98632485,0.8208826,,21779,1,,76,,0.002581894,169,0,71720352,0.024955539,484152,72714738,16937522,,21796,35517359,,,0,0.15392092,0.98632485,0.809657,71720352,0.00642916,15689102,7288142,15720316,167,15851778,11705677,0.004491875,16015081,50.256226,0.006658238,0.9933243,,0,50.04969
GTEX-11EQ9-1326-SM-5985X,1,B1,"6 pieces, well - preserved mucosa; rep lymphoid aggregates delineated",8.1,Small Intestine,Small Intestine - Terminal Ileum,1211,113,586,BP-44577,RNA Extraction from Paxgene-derived Lysate Plate Based,10/11/2013,LCSET-4417,01/23/2014,TruSeq.v1,RNASEQ,,0.9813298,0,0.96726674,,0.9868426,0.77759254,,23340,1,,76,,0.003166701,140,0,73969500,0.03182932,522624,74955724,15390324,,23364,36653032,,,0,0.18967415,0.9868426,0.76736146,73969500,0.00672861,16456051,8708628,16270828,155,16400814,11887833,0.004937707,16697902,50.44879,0.006972436,0.9923553,,0,49.717014
GTEX-11EQ9-1426-SM-5987G,1,B1,"6 pieces, mucosa is 5-10% thickness, ~0.2-0.4mm thick",8,Colon,Colon - Transverse,1157,116,583,BP-44577,RNA Extraction from Paxgene-derived Lysate Plate Based,10/11/2013,LCSET-4417,01/23/2014,TruSeq.v1,RNASEQ,,0.98170143,0,0.97292274,,0.9880358,0.82272375,,21925,1,,76,,0.002569876,146,0,71646011,0.026790956,378785,72513576,15175438,,21937,35503383,,,0,0.15019898,0.9880358,0.8128805,71646011,0.006299154,15634911,6602367,15664183,162,15792008,12511198,0.004422561,15917753,50.198277,0.005223643,0.9943703,,0,50.04676
GTEX-11EQ9-1526-SM-5PNY7,1,B1,"6 pieces, muscularis, adherent rim of serosa/fat up to ~1.5mm",6.3,Colon,Colon - Sigmoid,1159,124,575,BP-47888,RNA Extraction from Paxgene-derived Lysate Plate Based,01/06/2014,LCSET-4918,03/29/2014,TruSeq.v1,RNASEQ,,0.9874827,0,0.9709082,,0.98916173,0.8158548,,23833,1,,76,,0.003066149,384,0,118457904,0.02875705,862340,119755850,3295826,,23858,58935241,,,0,0.15505342,0.98916173,0.8070123,118457904,0.003517621,25767581,9475480,26053830,332,25940200,20123602,0.003291502,26054970,50.11037,0.007200818,0.9908408,,0,50.276184
GTEX-11EQ9-1626-SM-5PNY8,0,B1,"6 pieces, minimal dermal fat",7.9,Skin,Skin - Not Sun Exposed (Suprapubic),36149,126,573,BP-47888,RNA Extraction from Paxgene-derived Lysate Plate Based,01/06/2014,LCSET-4918,03/29/2014,TruSeq.v1,RNASEQ,,0.98992926,0,0.9711647,,0.9911726,0.81117326,,23503,1,,76,,0.003083778,291,0,94382742,0.02857447,590428,95223320,2711716,,23526,46965099,,,0,0.15999146,0.9911726,0.8040127,94382742,0.003440238,20848808,9305902,20984791,262,20939695,17035423,0.003261785,20996779,50.06806,0.006200456,0.9924159,,0,50.16253
GTEX-11EQ9-1726-SM-5HL6U,1,B1,"2 pieces, glandular hyperplastic pattern",7.6,Prostate,Prostate,2367,130,569,BP-43730,RNA Extraction from Paxgene-derived Lysate Plate Based,09/18/2013,LCSET-4806,03/02/2014,TruSeq.v1,RNASEQ,,0.98705876,0,0.9705943,,0.99091226,0.8303322,,21800,1,,76,,0.002009594,130,0,54534978,0.029134642,263344,55035120,5886794,,21809,27067120,,,0,0.14026205,0.99091226,0.8227864,54534978,0.003119847,11798878,4456665,11836431,134,11838347,10153488,0.002562562,11987204,50.312386,0.004785017,0.9947659,,0,50.079445
GTEX-11EQ9-1826-SM-5Q5AJ,1,B1,"2 pieces, gynecomastoid stromal hyperplasia is one, encircled; with prominent ductal elements, delineated (rep)",6,Breast,Breast - Mammary Tissue,8367,131,568,BP-47888,RNA Extraction from Paxgene-derived Lysate Plate Based,01/06/2014,LCSET-4952,03/29/2014,TruSeq.v1,RNASEQ,,0.98346853,0,0.96853274,,0.98646325,0.8187122,,22584,1,,76,,0.001794814,206,0,78173385,0.031202512,428646,79246120,5738950,,22602,38876023,,,0,0.14982054,0.98646325,0.80762947,78173385,0.002728065,17104618,6687721,17178967,204,17165486,13941423,0.002260023,17331933,50.24124,0.005409047,0.9894581,,0,50.108437
GTEX-11EQ9-1926-SM-5PNVV,0,B1,"2 pieces, spermatogenesis is present",7.9,Testis,Testis,473,134,565,BP-47888,RNA Extraction from Paxgene-derived Lysate Plate Based,01/06/2014,LCSET-4917,03/27/2014,TruSeq.v1,RNASEQ,,0.98901683,0,0.92666227,,0.9914778,0.74546623,,30634,1,,76,,0.001974108,143,0,76380752,0.07294247,528921,77037278,6763348,,30681,37992323,,,0,0.18119603,0.9914778,0.7391132,76380752,0.002857247,15820581,8903443,15847512,156,15906469,14023131,0.002414582,15922959,50.025906,0.00686578,0.99393874,,0,50.042522
GTEX-11EQ9-2026-SM-5P9JI,1,B1,"2 pieces, 40% delineated glandular elements; rest is stroma/mucosa/muscle",8,Salivary Gland,Minor Salivary Gland,6330,141,558,BP-47888,RNA Extraction from Paxgene-derived Lysate Plate Based,01/06/2014,LCSET-4916,03/27/2014,TruSeq.v1,RNASEQ,,0.9879342,0,0.97007173,,0.98899907,0.7892848,,24207,1,,76,,0.003539441,287,0,115403069,0.028190602,433214,116686736,3759246,,24244,57349850,,,0,0.18078691,0.98899907,0.780602,115403069,0.003735412,25896712,21203658,26100331,312,26077611,18957777,0.003637321,26029576,49.953907,0.003712624,0.9900639,,0,50.195797
GTEX-11EQ9-2126-SM-5PNVW,1,B1,"2 pieces, 5% interstitial fat, rep delineated",8.7,Muscle,Muscle - Skeletal,11907,318,381,BP-47888,RNA Extraction from Paxgene-derived Lysate Plate Based,01/06/2014,LCSET-4917,03/27/2014,TruSeq.v1,RNASEQ,,0.99139947,0,0.98105127,,0.9933493,0.88154095,,18437,1,,76,,0.001740684,183,0,69933224,0.0186895,539729,70401436,6304814,,18446,34819331,,,0,0.0995104,0.9933493,0.8756781,69933224,0.002612545,15303677,7923145,15358786,182,15321594,14890577,0.002175759,15458692,50.222702,0.007666448,0.99529916,,0,50.089863
GTEX-11EQ9-2226-SM-5987H,0,B1,"2 pieces, nubbin adherent fat on one section, delineated, ~1.5mm",8.1,Blood Vessel,Artery - Tibial,7610,319,380,BP-44577,RNA Extraction from Paxgene-derived Lysate Plate Based,10/11/2013,LCSET-4417,01/23/2014,TruSeq.v1,RNASEQ,,0.9798378,0,0.9742162,,0.9858931,0.85425013,,20199,1,,76,,0.002512953,171,0,75333931,0.025363233,265847,76411864,16907034,,20207,37333945,,,0,0.11996607,0.9858931,0.84219927,75333931,0.00610153,16178785,6006034,16261288,166,16373776,15736087,0.004296221,16482024,50.16473,0.003479132,0.9919485,,0,50.127163
GTEX-11EQ9-2326-SM-5HL5H,0,B1,"2 pieces, trace adherent fat, delineated, good specimens",7.2,Nerve,Nerve - Tibial,1323,320,379,BP-43730,RNA Extraction from Paxgene-derived Lysate Plate Based,09/18/2013,LCSET-4806,03/02/2014,TruSeq.v1,RNASEQ,,0.98585033,0,0.9431646,,0.98969567,0.744536,,22643,1,,76,,0.002127936,176,0,69810623,0.05653883,246857,70537464,7118212,,22665,34649193,,,0,0.19862863,0.98969567,0.73686403,69810623,0.003231228,14990708,7351597,15102963,157,15136087,11216501,0.002677439,15197908,50.101902,0.003499658,0.9935409,,0,50.18651
