Assay_Type_s	AvgSpotLen_l	BioSample_s	Experiment_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	age_s	gender_s	genotype_s	source_name_s	strain_s	tissue_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	Platform_s	SRA_Study_s
Bisulfite-Seq	101	SAMN02206499	SRX309597	SINGLE	RANDOM	GENOMIC	2013-06-18	9632	6891	Homo sapiens	2013-07-03	SRR907567	SRS448182	GSM1167005	2 years (1 yr 262 d)	male		Middle frontal gyrus from 2 year old male human brain (UMB_5180)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02206499	SRX309597	SINGLE	RANDOM	GENOMIC	2013-06-18	4816	3484	Homo sapiens	2013-07-03	SRR907568	SRS448182	GSM1167005	2 years (1 yr 262 d)	male		Middle frontal gyrus from 2 year old male human brain (UMB_5180)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02206499	SRX309597	SINGLE	RANDOM	GENOMIC	2013-06-18	4816	3427	Homo sapiens	2013-07-03	SRR907569	SRS448182	GSM1167005	2 years (1 yr 262 d)	male		Middle frontal gyrus from 2 year old male human brain (UMB_5180)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02206499	SRX309597	SINGLE	RANDOM	GENOMIC	2013-06-18	4863	3497	Homo sapiens	2013-07-03	SRR907570	SRS448182	GSM1167005	2 years (1 yr 262 d)	male		Middle frontal gyrus from 2 year old male human brain (UMB_5180)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02206499	SRX309597	SINGLE	RANDOM	GENOMIC	2013-06-18	9632	6773	Homo sapiens	2013-07-03	SRR907571	SRS448182	GSM1167005	2 years (1 yr 262 d)	male		Middle frontal gyrus from 2 year old male human brain (UMB_5180)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02206499	SRX309597	SINGLE	RANDOM	GENOMIC	2013-06-18	5272	3696	Homo sapiens	2013-07-03	SRR907572	SRS448182	GSM1167005	2 years (1 yr 262 d)	male		Middle frontal gyrus from 2 year old male human brain (UMB_5180)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02206499	SRX309597	SINGLE	RANDOM	GENOMIC	2013-06-18	9536	6775	Homo sapiens	2013-07-03	SRR907573	SRS448182	GSM1167005	2 years (1 yr 262 d)	male		Middle frontal gyrus from 2 year old male human brain (UMB_5180)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02206499	SRX309597	SINGLE	RANDOM	GENOMIC	2013-06-18	9536	6739	Homo sapiens	2013-07-03	SRR907574	SRS448182	GSM1167005	2 years (1 yr 262 d)	male		Middle frontal gyrus from 2 year old male human brain (UMB_5180)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02206499	SRX309597	SINGLE	RANDOM	GENOMIC	2013-06-18	1817	1297	Homo sapiens	2013-07-03	SRR907575	SRS448182	GSM1167005	2 years (1 yr 262 d)	male		Middle frontal gyrus from 2 year old male human brain (UMB_5180)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02206499	SRX309597	SINGLE	RANDOM	GENOMIC	2013-06-18	9536	6881	Homo sapiens	2013-07-03	SRR907576	SRS448182	GSM1167005	2 years (1 yr 262 d)	male		Middle frontal gyrus from 2 year old male human brain (UMB_5180)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02206499	SRX309597	SINGLE	RANDOM	GENOMIC	2013-06-18	9536	6828	Homo sapiens	2013-07-03	SRR907577	SRS448182	GSM1167005	2 years (1 yr 262 d)	male		Middle frontal gyrus from 2 year old male human brain (UMB_5180)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02206499	SRX309597	SINGLE	RANDOM	GENOMIC	2013-06-18	2468	1775	Homo sapiens	2013-07-03	SRR907578	SRS448182	GSM1167005	2 years (1 yr 262 d)	male		Middle frontal gyrus from 2 year old male human brain (UMB_5180)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	180	SAMN02213489	SRX314937	PAIRED	RANDOM	GENOMIC	2015-10-21	7520	3656	Homo sapiens	2015-07-22	SRR921701	SRS452409	GSM1173772	64 years	female		Frontal cortex from 64 year old female human brain		brain (frontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	180	SAMN02213489	SRX314937	PAIRED	RANDOM	GENOMIC	2015-10-21	13602	8667	Homo sapiens	2015-07-22	SRR921702	SRS452409	GSM1173772	64 years	female		Frontal cortex from 64 year old female human brain		brain (frontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	180	SAMN02213489	SRX314937	PAIRED	RANDOM	GENOMIC	2015-10-21	12925	7481	Homo sapiens	2015-07-22	SRR921703	SRS452409	GSM1173772	64 years	female		Frontal cortex from 64 year old female human brain		brain (frontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	180	SAMN02213489	SRX314937	PAIRED	RANDOM	GENOMIC	2015-10-21	13175	7716	Homo sapiens	2015-07-22	SRR921704	SRS452409	GSM1173772	64 years	female		Frontal cortex from 64 year old female human brain		brain (frontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213482	SRX314938	SINGLE	RANDOM	GENOMIC	2013-06-27	18951	10489	Homo sapiens	2013-07-03	SRR921705	SRS452410	GSM1173773	53 years	female		NeuN+ nuclei isolated from dorsal prefrontal cortex from 53 year old female human brain (UMB_579)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213482	SRX314938	SINGLE	RANDOM	GENOMIC	2013-06-27	16342	11358	Homo sapiens	2013-07-03	SRR921706	SRS452410	GSM1173773	53 years	female		NeuN+ nuclei isolated from dorsal prefrontal cortex from 53 year old female human brain (UMB_579)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213482	SRX314938	SINGLE	RANDOM	GENOMIC	2013-06-27	16449	11376	Homo sapiens	2013-07-03	SRR921707	SRS452410	GSM1173773	53 years	female		NeuN+ nuclei isolated from dorsal prefrontal cortex from 53 year old female human brain (UMB_579)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213482	SRX314938	SINGLE	RANDOM	GENOMIC	2013-06-27	16583	11099	Homo sapiens	2013-07-03	SRR921708	SRS452410	GSM1173773	53 years	female		NeuN+ nuclei isolated from dorsal prefrontal cortex from 53 year old female human brain (UMB_579)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213444	SRX314946	SINGLE	RANDOM	GENOMIC	2013-06-27	15652	11232	Mus musculus	2013-07-03	SRR921694	SRS452418	GSM1173781	2 weeks (P13)	male	wild type	Frontal cortex from 2 week old male mouse brain	C57BL/6	brain (frontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213444	SRX314946	SINGLE	RANDOM	GENOMIC	2013-06-27	15696	11270	Mus musculus	2013-07-03	SRR921695	SRS452418	GSM1173781	2 weeks (P13)	male	wild type	Frontal cortex from 2 week old male mouse brain	C57BL/6	brain (frontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213444	SRX314946	SINGLE	RANDOM	GENOMIC	2013-06-27	12109	8662	Mus musculus	2013-07-03	SRR921696	SRS452418	GSM1173781	2 weeks (P13)	male	wild type	Frontal cortex from 2 week old male mouse brain	C57BL/6	brain (frontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213452	SRX314947	SINGLE	RANDOM	GENOMIC	2013-06-27	15676	10681	Mus musculus	2013-07-03	SRR921697	SRS452419	GSM1173782	4 weeks (P25)	male	wild type	Frontal cortex from 4 week old male mouse brain	C57BL/6	brain (frontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213452	SRX314947	SINGLE	RANDOM	GENOMIC	2013-06-27	16123	10942	Mus musculus	2013-07-03	SRR921698	SRS452419	GSM1173782	4 weeks (P25)	male	wild type	Frontal cortex from 4 week old male mouse brain	C57BL/6	brain (frontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213452	SRX314947	SINGLE	RANDOM	GENOMIC	2013-06-27	16176	11022	Mus musculus	2013-07-03	SRR921699	SRS452419	GSM1173782	4 weeks (P25)	male	wild type	Frontal cortex from 4 week old male mouse brain	C57BL/6	brain (frontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213452	SRX314947	SINGLE	RANDOM	GENOMIC	2013-06-27	18207	13027	Mus musculus	2013-07-03	SRR921700	SRS452419	GSM1173782	4 weeks (P25)	male	wild type	Frontal cortex from 4 week old male mouse brain	C57BL/6	brain (frontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213482	SRX314938	SINGLE	RANDOM	GENOMIC	2013-06-27	16510	11243	Homo sapiens	2013-07-03	SRR921709	SRS452410	GSM1173773	53 years	female		NeuN+ nuclei isolated from dorsal prefrontal cortex from 53 year old female human brain (UMB_579)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213482	SRX314938	SINGLE	RANDOM	GENOMIC	2013-06-27	9632	6717	Homo sapiens	2013-07-03	SRR921710	SRS452410	GSM1173773	53 years	female		NeuN+ nuclei isolated from dorsal prefrontal cortex from 53 year old female human brain (UMB_579)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213482	SRX314938	SINGLE	RANDOM	GENOMIC	2013-06-27	9632	6610	Homo sapiens	2013-07-03	SRR921711	SRS452410	GSM1173773	53 years	female		NeuN+ nuclei isolated from dorsal prefrontal cortex from 53 year old female human brain (UMB_579)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213482	SRX314938	SINGLE	RANDOM	GENOMIC	2013-06-27	9186	6141	Homo sapiens	2013-07-03	SRR921712	SRS452410	GSM1173773	53 years	female		NeuN+ nuclei isolated from dorsal prefrontal cortex from 53 year old female human brain (UMB_579)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213482	SRX314938	SINGLE	RANDOM	GENOMIC	2013-06-27	9632	6656	Homo sapiens	2013-07-03	SRR921713	SRS452410	GSM1173773	53 years	female		NeuN+ nuclei isolated from dorsal prefrontal cortex from 53 year old female human brain (UMB_579)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213482	SRX314938	SINGLE	RANDOM	GENOMIC	2013-06-27	9632	6488	Homo sapiens	2013-07-03	SRR921714	SRS452410	GSM1173773	53 years	female		NeuN+ nuclei isolated from dorsal prefrontal cortex from 53 year old female human brain (UMB_579)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213482	SRX314938	SINGLE	RANDOM	GENOMIC	2013-06-27	9475	6510	Homo sapiens	2013-07-03	SRR921715	SRS452410	GSM1173773	53 years	female		NeuN+ nuclei isolated from dorsal prefrontal cortex from 53 year old female human brain (UMB_579)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213488	SRX314939	SINGLE	RANDOM	GENOMIC	2013-06-27	9632	6996	Homo sapiens	2013-07-03	SRR921716	SRS452411	GSM1173774	53 years	female		NeuN- nuclei isolated from dorsal prefrontal cortex from 53 year old female human brain (UMB_579)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213488	SRX314939	SINGLE	RANDOM	GENOMIC	2013-06-27	9632	6938	Homo sapiens	2013-07-03	SRR921717	SRS452411	GSM1173774	53 years	female		NeuN- nuclei isolated from dorsal prefrontal cortex from 53 year old female human brain (UMB_579)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213488	SRX314939	SINGLE	RANDOM	GENOMIC	2013-06-27	1459	1071	Homo sapiens	2013-07-03	SRR921718	SRS452411	GSM1173774	53 years	female		NeuN- nuclei isolated from dorsal prefrontal cortex from 53 year old female human brain (UMB_579)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213488	SRX314939	SINGLE	RANDOM	GENOMIC	2013-06-27	9632	7027	Homo sapiens	2013-07-03	SRR921719	SRS452411	GSM1173774	53 years	female		NeuN- nuclei isolated from dorsal prefrontal cortex from 53 year old female human brain (UMB_579)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213488	SRX314939	SINGLE	RANDOM	GENOMIC	2013-06-27	9632	6952	Homo sapiens	2013-07-03	SRR921720	SRS452411	GSM1173774	53 years	female		NeuN- nuclei isolated from dorsal prefrontal cortex from 53 year old female human brain (UMB_579)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213488	SRX314939	SINGLE	RANDOM	GENOMIC	2013-06-27	589	437	Homo sapiens	2013-07-03	SRR921721	SRS452411	GSM1173774	53 years	female		NeuN- nuclei isolated from dorsal prefrontal cortex from 53 year old female human brain (UMB_579)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213488	SRX314939	SINGLE	RANDOM	GENOMIC	2013-06-27	7388	5569	Homo sapiens	2013-07-03	SRR921722	SRS452411	GSM1173774	53 years	female		NeuN- nuclei isolated from dorsal prefrontal cortex from 53 year old female human brain (UMB_579)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213488	SRX314939	SINGLE	RANDOM	GENOMIC	2013-06-27	7843	5911	Homo sapiens	2013-07-03	SRR921723	SRS452411	GSM1173774	53 years	female		NeuN- nuclei isolated from dorsal prefrontal cortex from 53 year old female human brain (UMB_579)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02213487	SRX314940	SINGLE	RANDOM	GENOMIC	2013-06-27	1192	762	Homo sapiens	2013-07-03	SRR921724	SRS452412	GSM1173775	55 years	male		Dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02213487	SRX314940	SINGLE	RANDOM	GENOMIC	2013-06-27	525	339	Homo sapiens	2013-07-03	SRR921725	SRS452412	GSM1173775	55 years	male		Dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02213487	SRX314940	SINGLE	RANDOM	GENOMIC	2013-06-27	1192	754	Homo sapiens	2013-07-03	SRR921726	SRS452412	GSM1173775	55 years	male		Dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02213487	SRX314940	SINGLE	RANDOM	GENOMIC	2013-06-27	1192	769	Homo sapiens	2013-07-03	SRR921727	SRS452412	GSM1173775	55 years	male		Dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02213487	SRX314940	SINGLE	RANDOM	GENOMIC	2013-06-27	1192	771	Homo sapiens	2013-07-03	SRR921728	SRS452412	GSM1173775	55 years	male		Dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02213487	SRX314940	SINGLE	RANDOM	GENOMIC	2013-06-27	874	568	Homo sapiens	2013-07-03	SRR921729	SRS452412	GSM1173775	55 years	male		Dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02213487	SRX314940	SINGLE	RANDOM	GENOMIC	2013-06-27	1192	758	Homo sapiens	2013-07-03	SRR921730	SRS452412	GSM1173775	55 years	male		Dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02213487	SRX314940	SINGLE	RANDOM	GENOMIC	2013-06-27	1192	751	Homo sapiens	2013-07-03	SRR921731	SRS452412	GSM1173775	55 years	male		Dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02213487	SRX314940	SINGLE	RANDOM	GENOMIC	2013-06-27	1192	771	Homo sapiens	2013-07-03	SRR921732	SRS452412	GSM1173775	55 years	male		Dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02213487	SRX314940	SINGLE	RANDOM	GENOMIC	2013-06-27	1192	763	Homo sapiens	2013-07-03	SRR921733	SRS452412	GSM1173775	55 years	male		Dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213483	SRX314941	SINGLE	RANDOM	GENOMIC	2013-06-27	9632	6540	Homo sapiens	2013-07-03	SRR921734	SRS452413	GSM1173776	55 years	male		NeuN+ nuclei isolated from dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213483	SRX314941	SINGLE	RANDOM	GENOMIC	2013-06-27	7002	4758	Homo sapiens	2013-07-03	SRR921735	SRS452413	GSM1173776	55 years	male		NeuN+ nuclei isolated from dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213483	SRX314941	SINGLE	RANDOM	GENOMIC	2013-06-27	9632	7118	Homo sapiens	2013-07-03	SRR921736	SRS452413	GSM1173776	55 years	male		NeuN+ nuclei isolated from dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213483	SRX314941	SINGLE	RANDOM	GENOMIC	2013-06-27	5707	4254	Homo sapiens	2013-07-03	SRR921737	SRS452413	GSM1173776	55 years	male		NeuN+ nuclei isolated from dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213483	SRX314941	SINGLE	RANDOM	GENOMIC	2013-06-27	9632	6548	Homo sapiens	2013-07-03	SRR921738	SRS452413	GSM1173776	55 years	male		NeuN+ nuclei isolated from dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213483	SRX314941	SINGLE	RANDOM	GENOMIC	2013-06-27	7596	5148	Homo sapiens	2013-07-03	SRR921739	SRS452413	GSM1173776	55 years	male		NeuN+ nuclei isolated from dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213483	SRX314941	SINGLE	RANDOM	GENOMIC	2013-06-27	9632	7091	Homo sapiens	2013-07-03	SRR921740	SRS452413	GSM1173776	55 years	male		NeuN+ nuclei isolated from dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213483	SRX314941	SINGLE	RANDOM	GENOMIC	2013-06-27	4356	3239	Homo sapiens	2013-07-03	SRR921741	SRS452413	GSM1173776	55 years	male		NeuN+ nuclei isolated from dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213498	SRX314942	SINGLE	RANDOM	GENOMIC	2013-06-27	9632	6451	Homo sapiens	2013-07-03	SRR921742	SRS452414	GSM1173777	55 years	male		NeuN- nuclei isolated from dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213498	SRX314942	SINGLE	RANDOM	GENOMIC	2013-06-27	6107	4078	Homo sapiens	2013-07-03	SRR921743	SRS452414	GSM1173777	55 years	male		NeuN- nuclei isolated from dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213498	SRX314942	SINGLE	RANDOM	GENOMIC	2013-06-27	9632	7081	Homo sapiens	2013-07-03	SRR921744	SRS452414	GSM1173777	55 years	male		NeuN- nuclei isolated from dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213498	SRX314942	SINGLE	RANDOM	GENOMIC	2013-06-27	5699	4197	Homo sapiens	2013-07-03	SRR921745	SRS452414	GSM1173777	55 years	male		NeuN- nuclei isolated from dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213498	SRX314942	SINGLE	RANDOM	GENOMIC	2013-06-27	9632	7050	Homo sapiens	2013-07-03	SRR921746	SRS452414	GSM1173777	55 years	male		NeuN- nuclei isolated from dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213498	SRX314942	SINGLE	RANDOM	GENOMIC	2013-06-27	4433	3267	Homo sapiens	2013-07-03	SRR921747	SRS452414	GSM1173777	55 years	male		NeuN- nuclei isolated from dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213498	SRX314942	SINGLE	RANDOM	GENOMIC	2013-06-27	9632	7090	Homo sapiens	2013-07-03	SRR921748	SRS452414	GSM1173777	55 years	male		NeuN- nuclei isolated from dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02213498	SRX314942	SINGLE	RANDOM	GENOMIC	2013-06-27	6180	4581	Homo sapiens	2013-07-03	SRR921749	SRS452414	GSM1173777	55 years	male		NeuN- nuclei isolated from dorsal prefrontal cortex from 55 year old male human brain (UMB_797)		brain (dorsal prefrontal cortex)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	85	SAMN02213481	SRX314943	SINGLE	RANDOM	GENOMIC	2015-10-21	2972	1967	Homo sapiens	2015-07-22	SRR921750	SRS452415	GSM1173778		female		HUES6 human embryonic stem cell line		embryonic stem cells	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	85	SAMN02213481	SRX314943	SINGLE	RANDOM	GENOMIC	2015-10-21	3026	1971	Homo sapiens	2015-07-22	SRR921751	SRS452415	GSM1173778		female		HUES6 human embryonic stem cell line		embryonic stem cells	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
