BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	source_name_s	tissue_type_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s
SAMN02928535	SRX658055	2014-07-21	3801	2639	2014-07-31	SRR1521428	SRS663214	GSM1440488	non-neoplastic brain tissue	non-neoplastic brain	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928536	SRX658056	2014-07-21	3544	2468	2014-07-31	SRR1521429	SRS663216	GSM1440489	non-neoplastic brain tissue	non-neoplastic brain	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928537	SRX658057	2014-07-21	3755	2606	2014-07-31	SRR1521430	SRS663215	GSM1440490	non-neoplastic brain tissue	non-neoplastic brain	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928538	SRX658058	2014-07-21	3361	2329	2014-07-31	SRR1521431	SRS663221	GSM1440491	non-neoplastic brain tissue	non-neoplastic brain	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928539	SRX658059	2014-07-21	3261	2265	2014-07-31	SRR1521432	SRS663217	GSM1440492	non-neoplastic brain tissue	non-neoplastic brain	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928540	SRX658060	2014-07-21	3549	2431	2014-07-31	SRR1521433	SRS663218	GSM1440493	non-neoplastic brain tissue	non-neoplastic brain	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928540	SRX658060	2014-07-21	1897	1282	2014-07-31	SRR1521434	SRS663218	GSM1440493	non-neoplastic brain tissue	non-neoplastic brain	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928540	SRX658060	2014-07-21	1652	1148	2014-07-31	SRR1521435	SRS663218	GSM1440493	non-neoplastic brain tissue	non-neoplastic brain	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928541	SRX658061	2014-07-21	4191	2825	2014-07-31	SRR1521436	SRS663219	GSM1440494	non-neoplastic brain tissue	non-neoplastic brain	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928542	SRX658062	2014-07-21	2492	1765	2014-07-31	SRR1521437	SRS663220	GSM1440495	non-neoplastic brain tissue	non-neoplastic brain	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928543	SRX658063	2014-07-21	2857	1788	2014-07-31	SRR1521438	SRS663222	GSM1440496	non-neoplastic brain tissue	non-neoplastic brain	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928544	SRX658064	2014-07-21	3089	1925	2014-07-31	SRR1521439	SRS663223	GSM1440497	non-neoplastic brain tissue	non-neoplastic brain	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928545	SRX658065	2014-07-21	3450	2502	2014-07-31	SRR1521440	SRS663224	GSM1440498	non-neoplastic brain tissue	non-neoplastic brain	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928546	SRX658066	2014-07-21	3902	2817	2014-07-31	SRR1521441	SRS663225	GSM1440499	non-neoplastic brain tissue	non-neoplastic brain	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928547	SRX658067	2014-07-21	3133	2266	2014-07-31	SRR1521442	SRS663227	GSM1440500	non-neoplastic brain tissue	non-neoplastic brain	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928458	SRX658068	2014-07-21	2986	2160	2014-07-31	SRR1521443	SRS663226	GSM1440501	non-neoplastic brain tissue	non-neoplastic brain	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928548	SRX658069	2014-07-21	2998	2175	2014-07-31	SRR1521444	SRS663228	GSM1440502	non-neoplastic brain tissue	non-neoplastic brain	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928457	SRX658070	2014-07-21	3805	2746	2014-07-31	SRR1521445	SRS663229	GSM1440503	non-neoplastic brain tissue	non-neoplastic brain	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
