Assay_Type_s,Organism_s,Brain Bank,Sex,Age,Age Units,Development,Race,Sample Origin,source_name_s,Cell Line,Tissue Site 1,Tissue Site 2,Tissue Site 3,Brodmann Area,Hemisphere,Disease Status,tissue_type_s,Disease,Tumor Type,Clinical Stage 1,Clinical Stage 2,Pathology,Viability,Preparation,PMI,PMI Units,RIN,Sequencing Kit,,BioSample_s,Experiment_s,LoadDate_s,MBases_l,MBytes_l,ReleaseDate_s,Run_s,SRA_Sample_s,Sample_Name_s,AvgSpotLen_l,BioProject_s,Center_Name_s,Consent_s,InsertSize_l,Instrument_s,LibraryLayout_s,LibrarySelection_s,LibrarySource_s,Platform_s,SRA_Study_s
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928487,SRX658037,2015-12-02,1692,1208,2015-07-22,SRR1521410,SRS663196,GSM1440470,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928488,SRX658038,2014-07-21,3010,2127,2014-07-31,SRR1521411,SRS663197,GSM1440471,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928519,SRX658039,2014-07-21,3616,2549,2014-07-31,SRR1521412,SRS663198,GSM1440472,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928520,SRX658040,2014-07-21,3115,2193,2014-07-31,SRR1521413,SRS663200,GSM1440473,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928521,SRX658041,2014-07-21,2813,1982,2014-07-31,SRR1521414,SRS663199,GSM1440474,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928522,SRX658042,2014-07-21,2707,1912,2014-07-31,SRR1521415,SRS663201,GSM1440475,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928523,SRX658043,2014-07-21,2704,1850,2014-07-31,SRR1521416,SRS663202,GSM1440476,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928524,SRX658044,2014-07-21,3551,2410,2014-07-31,SRR1521417,SRS663203,GSM1440477,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928525,SRX658045,2014-07-21,2550,1720,2014-07-31,SRR1521418,SRS663204,GSM1440478,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928526,SRX658046,2014-07-21,2996,2073,2014-07-31,SRR1521419,SRS663205,GSM1440479,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928527,SRX658047,2014-07-21,3008,2098,2014-07-31,SRR1521420,SRS663206,GSM1440480,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928528,SRX658048,2014-07-21,3035,2110,2014-07-31,SRR1521421,SRS663207,GSM1440481,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928529,SRX658049,2014-07-21,4075,2742,2014-07-31,SRR1521422,SRS663208,GSM1440482,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928530,SRX658050,2014-07-21,3607,2423,2014-07-31,SRR1521423,SRS663210,GSM1440483,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928531,SRX658051,2014-07-21,3044,2107,2014-07-31,SRR1521424,SRS663209,GSM1440484,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928532,SRX658052,2014-07-21,3560,2469,2014-07-31,SRR1521425,SRS663213,GSM1440485,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928533,SRX658053,2014-07-21,3371,2366,2014-07-31,SRR1521426,SRS663211,GSM1440486,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,non-neoplastic brain tissue,,,,,,,Control,non-neoplastic brain,,,,,,,,,,,,,SAMN02928534,SRX658054,2014-07-21,3662,2545,2014-07-31,SRR1521427,SRS663212,GSM1440487,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,non-neoplastic brain tissue,,,,,,,Control,non-neoplastic brain,,,,,,,,,,,,,SAMN02928535,SRX658055,2014-07-21,3801,2639,2014-07-31,SRR1521428,SRS663214,GSM1440488,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,non-neoplastic brain tissue,,,,,,,Control,non-neoplastic brain,,,,,,,,,,,,,SAMN02928536,SRX658056,2014-07-21,3544,2468,2014-07-31,SRR1521429,SRS663216,GSM1440489,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,non-neoplastic brain tissue,,,,,,,Control,non-neoplastic brain,,,,,,,,,,,,,SAMN02928537,SRX658057,2014-07-21,3755,2606,2014-07-31,SRR1521430,SRS663215,GSM1440490,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,non-neoplastic brain tissue,,,,,,,Control,non-neoplastic brain,,,,,,,,,,,,,SAMN02928538,SRX658058,2014-07-21,3361,2329,2014-07-31,SRR1521431,SRS663221,GSM1440491,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,non-neoplastic brain tissue,,,,,,,Control,non-neoplastic brain,,,,,,,,,,,,,SAMN02928539,SRX658059,2014-07-21,3261,2265,2014-07-31,SRR1521432,SRS663217,GSM1440492,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,non-neoplastic brain tissue,,,,,,,Control,non-neoplastic brain,,,,,,,,,,,,,SAMN02928540,SRX658060,2014-07-21,3549,2431,2014-07-31,SRR1521433,SRS663218,GSM1440493,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,non-neoplastic brain tissue,,,,,,,Control,non-neoplastic brain,,,,,,,,,,,,,SAMN02928540,SRX658060,2014-07-21,1897,1282,2014-07-31,SRR1521434,SRS663218,GSM1440493,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,non-neoplastic brain tissue,,,,,,,Control,non-neoplastic brain,,,,,,,,,,,,,SAMN02928540,SRX658060,2014-07-21,1652,1148,2014-07-31,SRR1521435,SRS663218,GSM1440493,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,non-neoplastic brain tissue,,,,,,,Control,non-neoplastic brain,,,,,,,,,,,,,SAMN02928541,SRX658061,2014-07-21,4191,2825,2014-07-31,SRR1521436,SRS663219,GSM1440494,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,non-neoplastic brain tissue,,,,,,,Control,non-neoplastic brain,,,,,,,,,,,,,SAMN02928542,SRX658062,2014-07-21,2492,1765,2014-07-31,SRR1521437,SRS663220,GSM1440495,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,non-neoplastic brain tissue,,,,,,,Control,non-neoplastic brain,,,,,,,,,,,,,SAMN02928543,SRX658063,2014-07-21,2857,1788,2014-07-31,SRR1521438,SRS663222,GSM1440496,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,non-neoplastic brain tissue,,,,,,,Control,non-neoplastic brain,,,,,,,,,,,,,SAMN02928544,SRX658064,2014-07-21,3089,1925,2014-07-31,SRR1521439,SRS663223,GSM1440497,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,non-neoplastic brain tissue,,,,,,,Control,non-neoplastic brain,,,,,,,,,,,,,SAMN02928545,SRX658065,2014-07-21,3450,2502,2014-07-31,SRR1521440,SRS663224,GSM1440498,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,non-neoplastic brain tissue,,,,,,,Control,non-neoplastic brain,,,,,,,,,,,,,SAMN02928546,SRX658066,2014-07-21,3902,2817,2014-07-31,SRR1521441,SRS663225,GSM1440499,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,non-neoplastic brain tissue,,,,,,,Control,non-neoplastic brain,,,,,,,,,,,,,SAMN02928547,SRX658067,2014-07-21,3133,2266,2014-07-31,SRR1521442,SRS663227,GSM1440500,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,non-neoplastic brain tissue,,,,,,,Control,non-neoplastic brain,,,,,,,,,,,,,SAMN02928458,SRX658068,2014-07-21,2986,2160,2014-07-31,SRR1521443,SRS663226,GSM1440501,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,non-neoplastic brain tissue,,,,,,,Control,non-neoplastic brain,,,,,,,,,,,,,SAMN02928548,SRX658069,2014-07-21,2998,2175,2014-07-31,SRR1521444,SRS663228,GSM1440502,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,non-neoplastic brain tissue,,,,,,,Control,non-neoplastic brain,,,,,,,,,,,,,SAMN02928457,SRX658070,2014-07-21,3805,2746,2014-07-31,SRR1521445,SRS663229,GSM1440503,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
